Date,Sender,Send Amount,Send Currency,Receiver,Receive Amount,Receive Currency,Source,Inchane_id,Usdt
2025-01-17 07:03:10.396818,Tether(USDT)TRC20,300,USDT,Желтыйбанк(RUB),30550,RUB,https://alfabit.org/ru/exchange,1682,trc erc
2025-01-17 07:03:10.397596,BinanceCoin(BNB),0.089,BNB,Желтыйбанк(RUB),6500,RUB,https://alfabit.org/ru/exchange,1682,trc erc
2025-01-17 07:03:10.398313,Solana(SOL),1.5,SOL,Tether(USDT)SOL,322.759,USDT,https://alfabit.org/ru/exchange,1682,trc erc
2025-01-17 09:56:00,Сбербанк,0,?,Bitcoin,0.000441,BTC,https://avanchange.com/,1808,trc erc bep ton
2025-01-17 09:54:00,TRON,0,?,ЮMoney,19252,RUB,https://avanchange.com/,1808,trc erc bep ton
2025-01-17 09:54:00,Ethereum Classic,0,?,Альфа-банк,14055,RUB,https://avanchange.com/,1808,trc erc bep ton
2025-01-17 09:53:00,USDT ERC20,0,?,Сбербанк,10160,RUB,https://avanchange.com/,1808,trc erc bep ton
2025-01-17 09:49:00,USDT TON,0,?,Т-Банк (Тинькофф),47000,RUB,https://avanchange.com/,1808,trc erc bep ton
2025-01-17 08:28:00,Bitcoin,0.008,BTC,89be191b4152ac284879e19a53c55e44,83608.54,RUB,https://niceobmen.com,10334,trc erc bep
2025-01-17 08:55:00,Dogecoin,1000,DOGE,Sberbank,42660,RUB,https://niceobmen.com,10334,trc erc bep
2025-01-17 08:52:00,TRON-Icon-icon,499,USDT,Sberbank-RUB-,50853.09,RUB,https://yaobmen.cash,10913,trc erc bep
2025-01-17 08:52:00,Cash-Nalichnyie-RUB,813000,RUB,TRON-Icon-icon,7725.2,USDT,https://yaobmen.cash,10913,trc erc bep
2025-01-17 09:39:00,photo-2024-12-15-15-18-16,42148.6288,RUB,Tether,401,USDT,https://nadex.io/,19731,trc erc bep
2025-01-17 08:23:00,Tether,700,USDT,Sberbank,72708.65,RUB,https://nadex.io/,19731,trc erc bep
2025-01-17 08:37:00,Sberbank,500000,RUB,Tether,4755.1705,USDT,https://nadex.io/,19731,trc erc bep
2025-01-17 08:25:00,Bitcoin,0.01,BTC,Visa-Master,1004.2168,USD,https://bobr.exchange/,0,trc erc bep
2025-01-17 09:38:00,photo-2024-12-15-15-18-16,40000,RUB,Tether,380.5519,USDT,https://finex24.io,10943,trc,erc,bep
2025-01-17 09:20:00,Sberbank,70000,RUB,Tether,664.4821,USDT,https://finex24.io,10943,trc,erc,bep
2025-01-17 10:49:00,Visa-Master-Mir,1105,RUB,20799102-logo-moneygo1,1000.52,RUB,https://barry24.com,11204,trc erc bep
2025-01-16 12:39:00,Sistema-byistryih-platezhey,1325,RUB,20799102-logo-moneygo1,1199.72,RUB,https://barry24.com,11204,trc erc bep
2025-01-17 10:38:00,Sistema-byistryih-platezhey,2000,RUB,20799102-logo-moneygo1,1810.9,RUB,https://barry24.com,11204,trc erc bep
2025-01-17 10:26:00,Tether,925,USDT,photo-2024-12-15-15-18-16,95767.5625,RUB,https://finex24.io,10943,trc,erc,bep
2025-01-17 10:36:00,Sberbank,50000,RUB,Tether,475.9865,USDT,https://finex24.io,10943,trc,erc,bep
2025-01-17 08:46:00,Dogecoin,1983.615632,DOGE,Sberbank,84005.1302,RUB,https://finex24.io,10943,trc,erc,bep
2025-01-17 10:46:00,Tether,277.0987,USDT,Sberbank,28102.286095,RUB,https://buhtaobmena.me,11221,trc bep
2025-01-17 10:05:00,Bitcoin,0.00377985,BTC,Tinkoff,39138.2671313,RUB,https://buhtaobmena.me,11221,trc bep
2025-01-17 10:23:00,27-Toncoin,100,TON,Tinkoff,56578.00951,RUB,https://buhtaobmena.me,11221,trc bep
2025-01-17 10:33:00,pngegg-2,8000,RUB,bitcoin-btc-logo,0.00066971,BTC,https://cripthub.ru/,1789,trc erc bep
2025-01-17 10:28:00,logo-sbermarket-square-be8e750b,5600,RUB,bitcoin-btc-logo,0.00047334,BTC,https://cripthub.ru/,1789,trc erc bep
2025-01-17 10:14:00,logo-sbermarket-square-be8e750b,12300,RUB,bitcoin-btc-logo,0.00107336,BTC,https://cripthub.ru/,1789,trc erc bep
2025-01-17 09:44:00,1mir,5600,RUB,bitcoin-btc-logo,0.00047006,BTC,https://cripthub.ru/,1789,trc erc bep
2025-01-17 10:10:00,free-png.ru-126,11700,RUB,bitcoin-btc-logo,0.00102184,BTC,https://cripthub.ru/,1789,trc erc bep
2025-01-17 08:04:18.761287,Tether(USDT)TRC20,96,USDT,Желтыйбанк(RUB),9780,RUB,https://alfabit.org/ru/exchange,1682,trc erc
